Rank,City,State,usps,pop2020,pop2010,change,density,aland,latitude,longitude
1,New York,New York,NY,8323340,8190360,0.0162,10699,778,40.6635,73.9387
2,Los Angeles,California,CA,4015940,3795370,0.0581,3306,1215,34.0194,118.4108
3,Chicago,Illinois,IL,2694240,2697530,-0.0012,4575,589,41.8376,87.6818
4,Houston,Texas,TX,2340890,2098450,0.1155,1412,1658,29.7866,95.3909
5,Phoenix,Arizona,AZ,1703080,1449300,0.1751,1270,1341,33.5722,112.0901
6,Philadelphia,Pennsylvania,PA,1591800,1528290,0.0416,4577,348,40.0094,75.1333
7,San Antonio,Texas,TX,1578030,1332880,0.1839,1256,1256,29.4724,98.5251
8,San Diego,California,CA,1447100,1305970,0.1081,1715,844,32.8153,117.135
9,Dallas,Texas,TX,1382270,1200370,0.1515,1571,880,32.7933,96.7665
10,San Jose,California,CA,1033670,954492,0.083,2245,461,37.2967,121.8189
11,Austin,Texas,TX,988218,806423,0.2254,1193,829,30.3039,97.7544
12,Fort Worth,Texas,TX,932116,748481,0.2453,1041,895,32.7815,97.3467
13,Jacksonville,Florida,FL,926371,823123,0.1254,479,1936,30.3369,81.6616
14,Columbus,Ohio,OH,922223,790935,0.166,1624,568,39.9852,82.9848
15,Charlotte,North Carolina,NC,905318,738534,0.2258,1138,796,35.2078,80.831
16,San Francisco,California,CA,896047,805550,0.1123,7376,121,37.7272,123.0322
17,Indianapolis,Indiana,IN,875929,821555,0.0662,935,936,39.7767,86.1459
18,Seattle,Washington,WA,783137,610639,0.2825,3606,217,47.6205,122.3509
19,Denver,Colorado,CO,734134,603354,0.2168,1849,397,39.7619,104.8811
20,Washington,District of Columbia,DC,720687,605085,0.1911,4552,158,38.9041,77.0172
21,Boston,Massachusetts,MA,710195,621074,0.1435,5673,125,42.332,71.0202
22,El Paso,Texas,TX,685575,650708,0.0536,1028,667,31.8484,106.427
23,Nashville,Tennessee,TN,673167,604587,0.1134,547,1232,36.1718,86.785
24,Detroit,Michigan,MI,667272,711120,-0.0617,1857,359,42.383,83.1022
25,Portland,Oregon,OR,664103,585436,0.1344,1922,346,45.537,122.65
26,Las Vegas,Nevada,NV,662000,584606,0.1324,1803,367,36.2292,115.2601
27,Oklahoma City,Oklahoma,OK,655407,582285,0.1256,417,1571,35.4671,97.5137
28,Memphis,Tennessee,TN,647374,652309,-0.0076,788,822,35.1028,89.9774
29,Louisville,Kentucky,KY,624890,596155,0.0482,916,682,38.1654,85.6474
30,Baltimore,Maryland,MD,590479,621005,-0.0492,2816,210,39.3,76.6105
31,Milwaukee,Wisconsin,WI,585589,594881,-0.0156,2351,249,43.0633,87.9667
32,Albuquerque,New Mexico,NM,561188,546806,0.0263,1157,485,35.1056,106.6474
33,Tucson,Arizona,AZ,553871,527167,0.0507,898,616,32.1531,110.8706
34,Fresno,California,CA,538195,497721,0.0813,1811,297,36.7836,119.7934
35,Mesa,Arizona,AZ,527666,440995,0.1965,1475,358,33.4019,111.7174
36,Atlanta,Georgia,GA,523738,429193,0.2203,1490,352,33.7629,84.4227
37,Sacramento,California,CA,521769,467302,0.1166,2061,253,38.5666,121.4686
38,Kansas City,Missouri,MO,505198,460737,0.0965,619,816,39.1251,94.551
39,Miami,Florida,FL,486388,400841,0.2134,5217,93,25.7752,80.2086
40,Colorado Springs,Colorado,CO,485946,420544,0.1555,962,505,38.8673,104.7607
41,Raleigh,North Carolina,NC,481958,406355,0.1861,1276,378,35.8306,78.6418
